PUBCHEM_CID,Actual_A,Predicted_A,Actual_F,Predicted_F,Endpoint,abs_err_A,abs_err_F,fe_A,fe_F
158,-0.568636236,-0.8227925771129598,-0.568636236,-0.9201513212200626,Fu,0.2541563411129598,0.3515150852200626,1.7953798269920378,2.24654480837693
471,-2.602059991,-1.6629646230216957,-2.602059991,-1.4277107630349275,Fu,0.9390953679783043,1.1743492279650725,8.691512677667061,14.93995288793124
681,-0.045757495,-0.313314650054623,-0.045757495,-0.3638477722470116,Fu,0.267557155054623,0.3180902772470116,1.851642562436437,2.0801290407589406
896,-0.302770657,-0.678095556199261,-0.302770657,-0.6204293550376537,Fu,0.375324899199261,0.31765869803765373,2.3731484131811236,2.078062943748587
991,-2.903089987,-2.0759253349858557,-2.903089987,-1.7807254083962047,Fu,0.8271646520141442,1.1223645786037952,6.716834568336578,13.25453751270858
996,-0.145664764,-0.2264511953261681,-0.145664764,-0.5097309928095289,Fu,0.08078643132616808,0.36406622880952894,1.2044434975256995,2.3124174010909804
1345,-1.792177551,-2.2353611283037447,-1.792177551,-1.799052394582125,Fu,0.4431835773037447,0.00687484358212509,2.774492641413044,1.0159558691621164
1493,-1.56501616,-0.906084782773756,-1.56501616,-1.4475430503521471,Fu,0.6589313772262441,0.11747310964785296,4.559648633530664,1.3106088904584416
1593,-0.698970004,-2.039385478150182,-0.698970004,-1.7172963032259445,Fu,1.340415474150182,1.0183262992259445,21.898555794618638,10.431008498218644
1676,-0.37135275,-0.2259810524566471,-0.37135275,-0.3874594084591113,Fu,0.1453716975433529,0.0161066584591113,1.397563975743395,1.0377832538979084
1805,-0.004364803,0.0216644176643465,-0.004364803,0.087026283606917,Fu,0.0260292206643465,0.091391086606917,1.0617669937343188,1.2342157568219325
1978,-0.13076828,-0.107664160452185,-0.13076828,-0.4349347563700116,Fu,0.02310411954781498,0.3041664763700116,1.0546397097525377,2.0144963107061953
2099,-0.638272164,-0.8645841069760948,-0.638272164,-0.763782879964364,Fu,0.2263119429760948,0.12551071596436403,1.683883118362645,1.3350905317402086
2141,-0.017728771,-0.3344138559783246,-0.017728771,0.1842004818309462,Fu,0.31668508497832465,0.2019292528309462,2.0734095043583523,1.5919493751822869
2154,-0.124938737,-0.5695109273013674,-0.124938737,-0.7753630111758587,Fu,0.4445721903013674,0.6504242741758587,2.783378000494219,4.471201828119587
2165,-1.0,-1.222087454669307,-1.0,-1.5577862890795489,Fu,0.22208745466930702,0.5577862890795489,1.6675829829592888,3.612320610856047
2179,-1.572676214,-2.46551666058156,-1.572676214,-2.2630260484698077,Fu,0.8928404465815603,0.6903498344698078,7.813406987474689,4.9017350672712166
2268,-0.670683749,-1.9563892837393668,-0.670683749,-1.1415268934998442,Fu,1.2857055347393667,0.4708431444998441,19.306588259777655,2.9569443048187254
2269,-0.084424303,-0.3899899120649778,-0.084424303,-0.2754595374567191,Fu,0.30556560906497776,0.19103523445671908,2.0209967218258256,1.5525129607450867
2294,-0.045757495,-0.2609746636612723,-0.045757495,-0.2287045666104643,Fu,0.2152171686612723,0.18294707161046428,1.6414103541518656,1.5238670255738407
2315,-1.22184875,-1.1407459769672676,-1.22184875,-1.3763239110860557,Fu,0.08110277303273228,0.15447516108605575,1.2053211382226812,1.4271682027820738
2344,-1.301029996,-1.0617466821400496,-1.301029996,-1.0775968055463945,Fu,0.2392833138599504,0.22343319045360555,1.7349354212007215,1.6727582883927097
2351,-2.124938737,-1.139267353612784,-2.124938737,-1.0509593248117663,Fu,0.9856713833872159,1.0739794121882336,9.675454687912454,11.8571253790851
2381,-1.013228266,-0.6894669042237697,-1.013228266,-0.8707566859407566,Fu,0.3237613617762304,0.14247158005924343,2.107469809055405,1.3882624599885731
2441,-0.408935393,-1.07523210539327,-0.408935393,-1.2015835968467388,Fu,0.6662967123932702,0.7926482038467388,4.637636574225548,6.203663087600493
