PUBCHEM_CID,Actual_A,Predicted_A,Actual_G,Predicted_G,Endpoint,abs_err_A,abs_err_G,fe_A,fe_G
158,-0.568636236,-0.8227925771129598,-0.568636236,-0.8528548147088486,Fu,0.2541563411129598,0.2842185787088486,1.7953798269920378,1.9240598570394474
471,-2.602059991,-1.6629646230216957,-2.602059991,-1.3445563217180116,Fu,0.9390953679783043,1.2575036692819883,8.691512677667061,18.0927119642126
681,-0.045757495,-0.313314650054623,-0.045757495,-0.1796753520805954,Fu,0.267557155054623,0.1339178570805954,1.851642562436437,1.3611872017240987
896,-0.302770657,-0.678095556199261,-0.302770657,-0.6312526777335812,Fu,0.375324899199261,0.3284820207335812,2.3731484131811236,2.1305023654951976
991,-2.903089987,-2.0759253349858557,-2.903089987,-2.2648528472237333,Fu,0.8271646520141442,0.6382371397762667,6.716834568336578,4.347475465377677
996,-0.145664764,-0.2264511953261681,-0.145664764,-0.3364691735701006,Fu,0.08078643132616808,0.19080440957010059,1.2044434975256995,1.551688028752589
1345,-1.792177551,-2.2353611283037447,-1.792177551,-2.1977538741767884,Fu,0.4431835773037447,0.4055763231767884,2.774492641413044,2.5443468989151614
1493,-1.56501616,-0.906084782773756,-1.56501616,-0.5937527143271407,Fu,0.6589313772262441,0.9712634456728594,4.559648633530664,9.359732690518065
1593,-0.698970004,-2.039385478150182,-0.698970004,-1.8390259001686993,Fu,1.340415474150182,1.1400558961686993,21.898555794618638,13.8056193933858
1676,-0.37135275,-0.2259810524566471,-0.37135275,-0.0975856956259331,Fu,0.1453716975433529,0.2737670543740669,1.397563975743395,1.878309064542486
1805,-0.004364803,0.0216644176643465,-0.004364803,0.0039801938794332,Fu,0.0260292206643465,0.0083449968794332,1.0617669937343188,1.0194008629141678
1978,-0.13076828,-0.107664160452185,-0.13076828,-0.3426689196096182,Fu,0.02310411954781498,0.21190063960961822,1.0546397097525377,1.6289233155566554
2099,-0.638272164,-0.8645841069760948,-0.638272164,-0.8435828090533681,Fu,0.2263119429760948,0.20531064505336816,1.683883118362645,1.604392580981344
2141,-0.017728771,-0.3344138559783246,-0.017728771,-0.2380103910124214,Fu,0.31668508497832465,0.2202816200124214,2.0734095043583523,1.660663422274029
2154,-0.124938737,-0.5695109273013674,-0.124938737,-0.7123730702985367,Fu,0.4445721903013674,0.5874343332985367,2.783378000494219,3.8675357184651418
2165,-1.0,-1.222087454669307,-1.0,-1.4264654570739477,Fu,0.22208745466930702,0.4264654570739477,1.6675829829592888,2.6697184145503865
2179,-1.572676214,-2.46551666058156,-1.572676214,-2.296074562774405,Fu,0.8928404465815603,0.7233983487744049,7.813406987474689,5.289301810060999
2268,-0.670683749,-1.9563892837393668,-0.670683749,-1.8504948227024345,Fu,1.2857055347393667,1.1798110737024343,19.306588259777655,15.129029639159537
2269,-0.084424303,-0.3899899120649778,-0.084424303,-0.5026273205523968,Fu,0.30556560906497776,0.41820301755239675,2.0209967218258256,2.6194072037478664
2294,-0.045757495,-0.2609746636612723,-0.045757495,-0.1625050770736522,Fu,0.2152171686612723,0.11674758207365218,1.6414103541518656,1.308421229542895
2315,-1.22184875,-1.1407459769672676,-1.22184875,-0.9798833000274924,Fu,0.08110277303273228,0.24196544997250757,1.2053211382226812,1.7456832706489838
2344,-1.301029996,-1.0617466821400496,-1.301029996,-1.0971938270575374,Fu,0.2392833138599504,0.2038361689424626,1.7349354212007215,1.5989547332195633
2351,-2.124938737,-1.139267353612784,-2.124938737,-1.1096016537401003,Fu,0.9856713833872159,1.0153370832598996,9.675454687912454,10.359459174947414
2381,-1.013228266,-0.6894669042237697,-1.013228266,-0.6919884691998818,Fu,0.3237613617762304,0.32123979680011827,2.107469809055405,2.095269044634114
2441,-0.408935393,-1.07523210539327,-0.408935393,-0.770664156240279,Fu,0.6662967123932702,0.36172876324027897,4.637636574225548,2.300004910526252
2471,-0.853871964,-1.7132725269321911,-0.853871964,-1.7936701330926343,Fu,0.8594005629321911,0.9397981690926344,7.234367435682077,8.705589186139123
2474,-1.301029996,-0.7032527751035246,-1.301029996,-0.7415608222692401,Fu,0.5977772208964754,0.5594691737307599,3.960748084956521,3.6263454549214513
2528,0.0,-0.2461915001028555,0.0,-0.2917765354004541,Fu,0.2461915001028555,0.2917765354004541,1.762753152754638,1.9578370165789696
2541,-2.602059991,-1.990287964523261,-2.602059991,-2.257396229410765,Fu,0.611772026476739,0.34466376158923495,4.090458835478714,2.211381955944043
2585,-1.698970004,-1.888419132628412,-1.698970004,-1.848704670222412,Fu,0.18944912862841212,0.14973466622241194,1.5468533016501842,1.4116748132946426
2612,-0.610833913,-0.2402891791034797,-0.610833913,-0.3001157548550584,Fu,0.3705447338965203,0.3107181581449416,2.347171017307748,2.0451169969220833
2655,-0.143673977,-0.2503622732831667,-0.143673977,-0.2888748306105893,Fu,0.10668829628316667,0.14520085361058926,1.2784633905097498,1.3970143063855374
2684,-0.070581069,-0.2251051014799016,-0.070581069,-0.0175208473025443,Fu,0.1545240324799016,0.053060221697455695,1.4273288118313465,1.1299525893442333
2708,-0.472370099,-1.972511804480109,-0.472370099,-1.9210157048163896,Fu,1.5001417054801092,1.4486456058163897,31.633096447035367,28.0960719126874
2710,-0.886056648,-1.2184597096425025,-0.886056648,-1.169261674694676,Fu,0.33240306164250255,0.28320502669467607,2.1498247659392224,1.9195747415437705
