PUBCHEM_CID,Actual_A,Predicted_A,Actual_D,Predicted_D,Endpoint,abs_err_A,abs_err_D,fe_A,fe_D
681,0.597036665,0.374491593048212,0.597036665,0.0413578158935958,CL,0.22254507195178796,0.5556788491064042,1.669341045780969,3.5948340703903985
1676,-0.619788758,-0.4842660849226208,-0.619788758,-0.4807488027545344,CL,0.1355226730773792,0.13903995524546559,1.3662263999867055,1.3773361784792573
1978,-0.22184875,-0.0866342562729872,-0.22184875,-0.5664567480101284,CL,0.13521449372701283,0.3446079980101283,1.365257257090896,2.2110980318757143
2099,-0.282329497,-0.3086388824276961,-0.282329497,-0.3917731182528541,CL,0.02630938542769612,0.10944362125285412,1.0624521640067848,1.286600219783908
2141,0.264581729,-0.9476122491230776,0.264581729,-0.8140484448287275,CL,1.2121939781230777,1.0786301738287274,16.300239221054714,11.984782968299792
2165,1.114610984,-0.2176349141138081,1.114610984,-0.310775660236757,CL,1.3322458981138081,1.425386644236757,21.490469229492582,26.630949082057953
2179,-0.588380294,-1.379104444102793,-0.588380294,-1.089852556385375,CL,0.7907241501027931,0.5014722623853749,6.17623980622671,3.1730160024867944
2381,-0.142667504,-0.3823860967166947,-0.142667504,-0.5976773251087221,CL,0.2397185927166947,0.45500982110872207,1.7366751607341893,2.851082740984784
2441,-1.514278574,-1.6060960939616282,-1.514278574,-1.744366205447066,CL,0.09181751996162824,0.23008763144706612,1.2354282273095463,1.6985863567102844
2471,-0.823908741,-0.6760615536113661,-0.823908741,-0.9363157446148708,CL,0.1478471873886339,0.11240700361487077,1.4055528735962728,1.2954092791195149
2541,-1.653647026,-1.1261864894594118,-1.653647026,-0.8597344140083722,CL,0.5274605365405882,0.7939126119916278,3.368686037833742,6.22175079545147
2708,-0.774690718,-0.680696688100844,-0.774690718,-0.3252858625257508,CL,0.09399402989915595,0.4494048554742492,1.2416352391311523,2.8145233464086816
2756,-0.313363731,-0.200000116029447,-0.313363731,-0.1958918760955952,CL,0.11336361497055297,0.11747185490440479,1.2982657948351386,1.3106051039135709
2764,-0.302770657,-0.5902688561771254,-0.302770657,-0.4785350918781135,CL,0.28749819917712544,0.1757644348781135,1.9386445972528454,1.4988716139124094
2802,-1.277366077,-1.0584242007783906,-1.277366077,-1.60794643228507,CL,0.21894187622160932,0.3305803552850701,1.6555483784146663,2.1408209952802975
2907,-1.180456064,-0.6948923940783154,-1.180456064,-1.042309673084006,CL,0.48556366992168454,0.1381463909159939,3.0588886632739873,1.3745052117715373
2942,-0.806875402,-1.039222689404725,-0.806875402,-0.6789487273501683,CL,0.232347287404725,0.12792667464983165,1.7074472184271006,1.3425382707152118
3019,-2.443697499,-1.5049795995675923,-2.443697499,-1.3900008883934205,CL,0.9387178994324079,1.0536966106065797,8.68396170141875,11.31609567358303
3151,-0.244125144,-0.3620800691790663,-0.244125144,-0.5196970683780664,CL,0.11795492517906633,0.27557192437806644,1.3120637146819698,1.886131309605933
3157,-1.017728767,-0.9175377478923648,-1.017728767,-0.9448364543236716,CL,0.10019101910763517,0.07289231267632834,1.2594792565063304,1.182748246022382
3168,-0.271483895,-0.2003549238343733,-0.271483895,-0.4035094333797536,CL,0.07112897116562666,0.13202553837975362,1.177955735663507,1.3552691056487909
3229,-0.48945499,-0.6427568585833785,-0.48945499,-0.4497477170836297,CL,0.15330186858337852,0.03970727291637027,1.4233177603809437,1.0957393870375538
3306,-0.075720714,-0.2225782279373905,-0.075720714,-0.8076634179304119,CL,0.1468575139373905,0.7319427039304118,1.4023535361184762,5.394394500723181
3325,-0.402304814,-0.5835813173360654,-0.402304814,-0.6379330640269141,CL,0.18127650333606543,0.23562825002691407,1.5180165391832359,1.7203953103212404
3343,0.240549248,0.4146814370445635,0.240549248,0.1578596785330289,CL,0.1741321890445635,0.08268956946697109,1.493248850308674,1.2097331160114326
3356,-0.53165267,-0.4734962459600501,-0.53165267,-0.7083840567882003,CL,0.05815642403994997,0.17673138678820022,1.1432900504641157,1.502212553055908
3357,-0.841637508,-0.5733589743002891,-0.841637508,-0.9171599166943294,CL,0.2682785336997109,0.07552240869432936,1.8547207626557978,1.1899327256362082
3365,-1.730487056,-1.2539337555387151,-1.730487056,-1.1007246234629862,CL,0.47655330046128497,0.6297624325370139,2.996079275221672,4.263462353833962
3446,-0.991399828,-0.7917948177328391,-0.991399828,-1.010020824130755,CL,0.19960501026716093,0.018620996130754852,1.5834523914129792,1.043808901439308
3478,-1.473660723,-1.213057556205833,-1.473660723,-0.9562792492657924,CL,0.26060316679416706,0.5173814737342076,1.8222298929800396,3.2914061306744236
3519,-0.568636236,-0.5436318957330721,-0.568636236,-0.9085116322913038,CL,0.025004340266927882,0.3398753962913038,1.0592643112360032,2.1871340218942574
3559,-0.329754147,-0.4582435896536362,-0.329754147,-0.2039309385854238,CL,0.1284894426536362,0.1258232084145762,1.344279087940555,1.3360515290890371
3676,-0.017728767,-0.4667710032787986,-0.017728767,-0.3939226639769141,CL,0.44904223627879863,0.37619389697691413,2.8121743084366075,2.37790169785608
3749,-0.860120914,-0.8268045912382699,-0.860120914,-0.7966539723629957,CL,0.03331632276173013,0.06346694163700428,1.0797328702107922,1.157355931160036
3779,0.526339277,0.0296767846250082,0.526339277,0.0719896892246263,CL,0.4966624923749918,0.45434958777537376,3.1380690269720284,2.8467516941327093
3822,-0.395773947,-0.2538476330238416,-0.395773947,-0.6691234722670828,CL,0.1419263139761584,0.2733495252670828,1.3865205602717166,1.8765041329283327
3869,0.139879086,-0.3227883982386414,0.139879086,-0.2398818089765691,CL,0.46266748423864146,0.3797608949765691,2.901800052584986,2.397512581872471
3883,-0.578396073,-1.003964738331898,-0.578396073,-0.7920320809309803,CL,0.42556866533189797,0.21363600793098037,2.664211295974518,1.6354452430557167
