PUBCHEM_CID,Actual_A,Predicted_A,Actual_E,Predicted_E,Endpoint,abs_err_A,abs_err_E,fe_A,fe_E
158,-0.568636236,-0.8227925771129598,-0.568636236,-0.85050106,Fu,0.2541563411129598,0.281864824,1.7953798269920378,1.9136601974593088
471,-2.602059991,-1.6629646230216957,-2.602059991,-1.3676581,Fu,0.9390953679783043,1.2344018909999999,8.691512677667061,17.155441175143988
681,-0.045757495,-0.313314650054623,-0.045757495,-0.24301124,Fu,0.267557155054623,0.19725374499999998,1.851642562436437,1.5749027632839316
896,-0.302770657,-0.678095556199261,-0.302770657,-0.70283234,Fu,0.375324899199261,0.40006168300000006,2.3731484131811236,2.512243220971278
991,-2.903089987,-2.0759253349858557,-2.903089987,-2.3038697,Fu,0.8271646520141442,0.5992202870000001,6.716834568336578,3.9739306786898316
996,-0.145664764,-0.2264511953261681,-0.145664764,-0.21561098,Fu,0.08078643132616808,0.069946216,1.2044434975256995,1.174752062007772
1345,-1.792177551,-2.2353611283037447,-1.792177551,-1.9562446,Fu,0.4431835773037447,0.16406704900000002,2.774492641413044,1.4590394982007835
1493,-1.56501616,-0.906084782773756,-1.56501616,-0.55954516,Fu,0.6589313772262441,1.005471,4.559648633530664,10.126771250744556
1593,-0.698970004,-2.039385478150182,-0.698970004,-1.4142327,Fu,1.340415474150182,0.7152626959999999,21.898555794618638,5.1911394556963915
1676,-0.37135275,-0.2259810524566471,-0.37135275,-0.13289201,Fu,0.1453716975433529,0.23846074,1.397563975743395,1.7316524831716742
1805,-0.004364803,0.0216644176643465,-0.004364803,-0.008721814,Fu,0.0260292206643465,0.004357010999999999,1.0617669937343188,1.010082881703193
1978,-0.13076828,-0.107664160452185,-0.13076828,-0.2792641,Fu,0.02310411954781498,0.14849582000000003,1.0546397097525377,1.4076536799039174
2099,-0.638272164,-0.8645841069760948,-0.638272164,-0.9245117,Fu,0.2263119429760948,0.28623953600000007,1.683883118362645,1.9330341919659504
2141,-0.017728771,-0.3344138559783246,-0.017728771,-0.08367129,Fu,0.31668508497832465,0.06594251899999999,2.0734095043583523,1.1639719618296038
2154,-0.124938737,-0.5695109273013674,-0.124938737,-0.6984509,Fu,0.4445721903013674,0.573512163,2.783378000494219,3.7455203672183064
2165,-1.0,-1.222087454669307,-1.0,-1.3863702,Fu,0.22208745466930702,0.3863702,1.6675829829592888,2.4342781450108637
2179,-1.572676214,-2.46551666058156,-1.572676214,-2.087201,Fu,0.8928404465815603,0.514524786,7.813406987474689,3.269827078177299
2268,-0.670683749,-1.9563892837393668,-0.670683749,-1.7982569,Fu,1.2857055347393667,1.127573151,19.306588259777655,13.4144586469259
2269,-0.084424303,-0.3899899120649778,-0.084424303,-0.31068635,Fu,0.30556560906497776,0.226262047,2.0209967218258256,1.6836896685974598
2294,-0.045757495,-0.2609746636612723,-0.045757495,-0.19965789,Fu,0.2152171686612723,0.153900395,1.6414103541518656,1.4252806694343394
2315,-1.22184875,-1.1407459769672676,-1.22184875,-0.95448846,Fu,0.08110277303273228,0.26736028999999994,1.2053211382226812,1.8508034057746994
2344,-1.301029996,-1.0617466821400496,-1.301029996,-0.9191315,Fu,0.2392833138599504,0.38189849600000003,1.7349354212007215,2.4093422475568707
2351,-2.124938737,-1.139267353612784,-2.124938737,-0.945668,Fu,0.9856713833872159,1.179270737,9.675454687912454,15.11021824037778
2381,-1.013228266,-0.6894669042237697,-1.013228266,-0.7852439,Fu,0.3237613617762304,0.22798436600000005,2.107469809055405,1.6903800792057129
2441,-0.408935393,-1.07523210539327,-0.408935393,-0.6244617,Fu,0.6662967123932702,0.21552630700000003,4.637636574225548,1.642579154425088
2471,-0.853871964,-1.7132725269321911,-0.853871964,-1.6133337,Fu,0.8594005629321911,0.7594617360000001,7.234367435682077,5.747271796351857
2474,-1.301029996,-0.7032527751035246,-1.301029996,-0.53046805,Fu,0.5977772208964754,0.770561946,3.960748084956521,5.896060700817839
2528,0.0,-0.2461915001028555,0.0,-0.3064831,Fu,0.2461915001028555,0.3064831,1.762753152754638,2.0252707945355843
2541,-2.602059991,-1.990287964523261,-2.602059991,-2.0633624,Fu,0.611772026476739,0.538697591,4.090458835478714,3.4569857631661782
2585,-1.698970004,-1.888419132628412,-1.698970004,-1.5757856,Fu,0.18944912862841212,0.12318440400000008,1.5468533016501842,1.3279581969251197
2612,-0.610833913,-0.2402891791034797,-0.610833913,-0.28236794,Fu,0.3705447338965203,0.328465973,2.347171017307748,2.1304236421770097
2655,-0.143673977,-0.2503622732831667,-0.143673977,-0.35368818,Fu,0.10668829628316667,0.210014203,1.2784633905097498,1.6218631372809957
2684,-0.070581069,-0.2251051014799016,-0.070581069,-0.05185917,Fu,0.1545240324799016,0.018721898999999993,1.4273288118313465,1.044051445504937
2708,-0.472370099,-1.972511804480109,-0.472370099,-1.993824,Fu,1.5001417054801092,1.521453901,31.633096447035367,33.224151694212615
